platform,entity,year,metric,value_kusd,source
blueowl,Kuvare Life Re,2023,eligible_capital,277857,klr-fcr-2023
blueowl,Kuvare Life Re,2023,ecr,134157,klr-fcr-2023
blueowl,Kuvare Life Re,2024,eligible_capital,328386,klr-fcr-2024
blueowl,Kuvare Life Re,2024,ecr,173245,klr-fcr-2024
blueowl,Kuvare Life Re,2025,eligible_capital,391834,klr-fcr-2025
blueowl,Kuvare Life Re,2025,ecr,222387,klr-fcr-2025
ares,Aspida Re,2023,eligible_capital,778000,aspida-fcr-2023
ares,Aspida Re,2023,ecr,363000,aspida-fcr-2023
ares,Aspida Re,2024,eligible_capital,1029000,aspida-fcr-2024
ares,Aspida Re,2024,ecr,499000,aspida-fcr-2024
ares,Aspida Re,2025,eligible_capital,1251000,aspida-fcr-2025
ares,Aspida Re,2025,ecr,628000,aspida-fcr-2025
