period,metric,value_musd
1Q23,ins_dac_amort,44.2
1Q23,ins_exp_total,2048.6
1Q23,ins_interest_exp,40.3
1Q23,ins_inv_gl,-123.8
1Q23,ins_net_premiums,473.6
1Q23,ins_nii,1300.7
1Q23,ins_other_income,37.2
1Q23,ins_policy_benefits,1527.1
1Q23,ins_policy_fees,313.8
1Q23,ins_policy_opex,437.0
1Q23,ins_rev_total,2001.4
1Q24,ins_dac_amort,-3.8
1Q24,ins_exp_total,7695.0
1Q24,ins_interest_exp,54.6
1Q24,ins_inv_gl,-241.5
1Q24,ins_net_premiums,6036.5
1Q24,ins_nii,1519.9
1Q24,ins_other_income,56.4
1Q24,ins_policy_benefits,7261.1
1Q24,ins_policy_fees,328.9
1Q24,ins_policy_opex,383.1
1Q24,ins_rev_total,7700.3
1Q25,ins_dac_amort,98.0
1Q25,ins_exp_total,2163.1
1Q25,ins_interest_exp,69.6
1Q25,ins_inv_gl,-1436.3
1Q25,ins_net_premiums,323.4
1Q25,ins_nii,1783.3
1Q25,ins_other_income,55.5
1Q25,ins_policy_benefits,1708.3
1Q25,ins_policy_fees,338.5
1Q25,ins_policy_opex,287.2
1Q25,ins_rev_total,1064.3
1Q26,ins_dac_amort,142.9
1Q26,ins_exp_total,2398.9
1Q26,ins_interest_exp,73.9
1Q26,ins_inv_gl,-652.7
1Q26,ins_net_premiums,562.0
1Q26,ins_nii,1989.1
1Q26,ins_other_income,65.3
1Q26,ins_policy_benefits,1880.0
1Q26,ins_policy_fees,325.7
1Q26,ins_policy_opex,302.1
1Q26,ins_rev_total,2289.3
2Q23,ins_dac_amort,0.2
2Q23,ins_exp_total,2152.2
2Q23,ins_interest_exp,39.8
2Q23,ins_inv_gl,-117.5
2Q23,ins_net_premiums,626.4
2Q23,ins_nii,1311.1
2Q23,ins_other_income,39.9
2Q23,ins_policy_benefits,1736.0
2Q23,ins_policy_fees,315.4
2Q23,ins_policy_opex,376.2
2Q23,ins_rev_total,2175.2
2Q24,ins_dac_amort,32.8
2Q24,ins_exp_total,2723.4
2Q24,ins_interest_exp,65.8
2Q24,ins_inv_gl,-302.6
2Q24,ins_net_premiums,935.8
2Q24,ins_nii,1580.5
2Q24,ins_other_income,63.9
2Q24,ins_policy_benefits,2199.2
2Q24,ins_policy_fees,333.9
2Q24,ins_policy_opex,425.7
2Q24,ins_rev_total,2611.5
2Q25,ins_dac_amort,80.8
2Q25,ins_exp_total,3310.2
2Q25,ins_interest_exp,70.8
2Q25,ins_inv_gl,239.2
2Q25,ins_net_premiums,730.2
2Q25,ins_nii,1863.3
2Q25,ins_other_income,86.0
2Q25,ins_policy_benefits,2791.7
2Q25,ins_policy_fees,335.0
2Q25,ins_policy_opex,366.9
2Q25,ins_rev_total,3253.7
3Q23,ins_dac_amort,17.7
3Q23,ins_exp_total,1147.2
3Q23,ins_interest_exp,44.7
3Q23,ins_inv_gl,-338.2
3Q23,ins_net_premiums,220.2
3Q23,ins_nii,1412.1
3Q23,ins_other_income,42.3
3Q23,ins_policy_benefits,747.2
3Q23,ins_policy_fees,314.0
3Q23,ins_policy_opex,337.6
3Q23,ins_rev_total,1650.5
3Q24,ins_dac_amort,49.4
3Q24,ins_exp_total,2967.7
3Q24,ins_interest_exp,78.5
3Q24,ins_inv_gl,-236.0
3Q24,ins_net_premiums,621.2
3Q24,ins_nii,1701.8
3Q24,ins_other_income,60.2
3Q24,ins_policy_benefits,2421.7
3Q24,ins_policy_fees,375.4
3Q24,ins_policy_opex,418.1
3Q24,ins_rev_total,2522.6
3Q25,ins_dac_amort,87.0
3Q25,ins_exp_total,3623.8
3Q25,ins_interest_exp,72.1
3Q25,ins_inv_gl,351.8
3Q25,ins_net_premiums,1059.6
3Q25,ins_nii,1969.8
3Q25,ins_other_income,61.0
3Q25,ins_policy_benefits,3075.4
3Q25,ins_policy_fees,339.7
3Q25,ins_policy_opex,389.4
3Q25,ins_rev_total,3782.0
4Q23,ins_dac_amort,25.2
4Q23,ins_exp_total,2847.7
4Q23,ins_interest_exp,49.1
4Q23,ins_inv_gl,344.4
4Q23,ins_net_premiums,655.4
4Q23,ins_nii,1491.0
4Q23,ins_other_income,57.1
4Q23,ins_policy_benefits,2352.0
4Q23,ins_policy_fees,317.0
4Q23,ins_policy_opex,421.4
4Q23,ins_rev_total,2864.9
4Q24,ins_dac_amort,95.7
4Q24,ins_exp_total,1840.1
4Q24,ins_interest_exp,72.9
4Q24,ins_inv_gl,-643.0
4Q24,ins_net_premiums,305.3
4Q24,ins_nii,1772.4
4Q24,ins_other_income,58.0
4Q24,ins_policy_benefits,1411.4
4Q24,ins_policy_fees,339.5
4Q24,ins_policy_opex,260.1
4Q24,ins_rev_total,1832.1
4Q25,ins_dac_amort,43.6
4Q25,ins_exp_total,3589.1
4Q25,ins_interest_exp,82.5
4Q25,ins_inv_gl,-195.7
4Q25,ins_net_premiums,1284.0
4Q25,ins_nii,2048.7
4Q25,ins_other_income,54.3
4Q25,ins_policy_benefits,3155.8
4Q25,ins_policy_fees,337.6
4Q25,ins_policy_opex,307.2
4Q25,ins_rev_total,3528.9
FY2023,ins_dac_amort,87.3
FY2023,ins_exp_total,8195.6
FY2023,ins_interest_exp,173.9
FY2023,ins_inv_gl,-235.3
FY2023,ins_net_premiums,1975.7
FY2023,ins_nii,5514.9
FY2023,ins_other_income,176.4
FY2023,ins_policy_benefits,6362.3
FY2023,ins_policy_fees,1260.2
FY2023,ins_policy_opex,1572.2
FY2023,ins_rev_total,8692.0
FY2024,ins_dac_amort,174.2
FY2024,ins_exp_total,15226.1
FY2024,ins_interest_exp,271.8
FY2024,ins_inv_gl,-1423.1
FY2024,ins_net_premiums,7898.8
FY2024,ins_nii,6574.6
FY2024,ins_other_income,238.4
FY2024,ins_policy_benefits,13293.3
FY2024,ins_policy_fees,1377.7
FY2024,ins_policy_opex,1486.9
FY2024,ins_rev_total,14666.5
FY2025,ins_dac_amort,309.3
FY2025,ins_exp_total,12686.2
FY2025,ins_interest_exp,295.0
FY2025,ins_inv_gl,-1041.1
FY2025,ins_net_premiums,3397.2
FY2025,ins_nii,7665.1
FY2025,ins_other_income,256.8
FY2025,ins_policy_benefits,10731.2
FY2025,ins_policy_fees,1350.8
FY2025,ins_policy_opex,1350.7
FY2025,ins_rev_total,11628.8
