carrier,year,metric,value
flic,2025,total_admitted_assets,73015640601
flic,2025,total_liabilities,68387426537
flic,2025,capital_surplus,4628214064
flic,2025,premiums_annuity_considerations,8387696755
flic,2024,total_admitted_assets,60160298146
flic,2024,total_liabilities,56138015889
flic,2024,capital_surplus,4022282257
flic,2024,premiums_annuity_considerations,8791061062
flic,2023,total_admitted_assets,57338427615
flic,2023,total_liabilities,54487530176
flic,2023,capital_surplus,2850897439
flic,2023,premiums_annuity_considerations,6494680439
flic,2022,total_admitted_assets,53507942273
flic,2022,total_liabilities,50831981822
flic,2022,capital_surplus,2675960451
flic,2022,premiums_annuity_considerations,5494173355
cwa,2025,total_admitted_assets,112544586808
cwa,2025,total_liabilities,105664722758
cwa,2025,capital_surplus,6879864050
cwa,2025,premiums_annuity_considerations,232250818
cwa,2024,total_admitted_assets,102043400385
cwa,2024,total_liabilities,95888250308
cwa,2024,capital_surplus,6155150077
cwa,2024,premiums_annuity_considerations,8045362784
cwa,2023,total_admitted_assets,77374758706
cwa,2023,total_liabilities,73060786754
cwa,2023,capital_surplus,4313971952
cwa,2023,premiums_annuity_considerations,2155129009
cwa,2022,total_admitted_assets,68075658498
cwa,2022,total_liabilities,63883815664
cwa,2022,capital_surplus,4191842834
cwa,2022,premiums_annuity_considerations,8177938299
accordia,2025,total_admitted_assets,12126511921
accordia,2025,total_liabilities,11394971825
accordia,2025,capital_surplus,731540096
accordia,2025,premiums_annuity_considerations,225555533
accordia,2024,total_admitted_assets,12454588356
accordia,2024,total_liabilities,11742666504
accordia,2024,capital_surplus,711921852
accordia,2024,premiums_annuity_considerations,223907554
accordia,2023,total_admitted_assets,12575419912
accordia,2023,total_liabilities,11894190434
accordia,2023,capital_surplus,681229478
accordia,2023,premiums_annuity_considerations,358347229
accordia,2022,total_admitted_assets,12476722049
accordia,2022,total_liabilities,11518052414
accordia,2022,capital_surplus,958669635
accordia,2022,premiums_annuity_considerations,448362649
faflic,2025,total_admitted_assets,15751851873
faflic,2025,total_liabilities,15604032994
faflic,2025,capital_surplus,147818879
faflic,2025,premiums_annuity_considerations,213240632
faflic,2024,total_admitted_assets,15161690469
faflic,2024,total_liabilities,15024795903
faflic,2024,capital_surplus,136894566
faflic,2024,premiums_annuity_considerations,126030409
faflic,2023,total_admitted_assets,15651384012
faflic,2023,total_liabilities,15516011708
faflic,2023,capital_surplus,135372304
faflic,2023,premiums_annuity_considerations,1017329960
faflic,2022,total_admitted_assets,6293144635
faflic,2022,total_liabilities,6203473272
faflic,2022,capital_surplus,89671363
faflic,2022,premiums_annuity_considerations,432430070
